[GIN] 2025/12/16 - 14:27:11 | 200 |    3.699083ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:27:11 | 200 |     670.417µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:27:11 | 200 |     447.541µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/12/16 - 14:28:08 | 200 | 56.979421125s |       127.0.0.1 | POST     "/api/pull"
[GIN] 2025/12/16 - 14:30:09 | 200 |    3.833458ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:30:09 | 200 |     691.791µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:30:30 | 404 |    3.965875ms |       127.0.0.1 | POST     "/api/generate"
[GIN] 2025/12/16 - 14:42:54 | 404 |   13.269291ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:54 | 404 |   15.412291ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:54 | 404 |   15.560667ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:54 | 200 |     23.9895ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:42:54 | 200 |   43.683875ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:54 | 200 |   58.451334ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:54 | 200 |   68.724209ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:54 | 200 |   68.713291ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 404 |    1.151458ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 404 |    1.083125ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 404 |    1.013375ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 200 |    1.309458ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:42:56 | 200 |   18.423917ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 200 |   38.777875ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 200 |   45.829708ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 200 |   47.383333ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 404 |     454.458µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 404 |     393.833µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 404 |     532.791µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 200 |     623.333µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:42:56 | 200 |   13.881167ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 200 |   34.954292ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 200 |   42.786209ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:42:56 | 200 |      42.853ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:14 | 200 |     449.958µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/12/16 - 14:43:14 | 200 |         932µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:43:14 | 404 |       536.5µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:14 | 404 |     461.167µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:14 | 404 |     683.042µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:14 | 200 |     690.916µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:43:14 | 200 |    41.29125ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:14 | 200 |   21.714416ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:14 | 200 |   50.849541ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:14 | 200 |   55.243459ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:14 | 200 |   56.495792ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:14 | 200 |   50.730541ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:14 | 200 |   33.395667ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:14 | 200 |   17.457875ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:53 | 200 |      15.209µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/12/16 - 14:43:53 | 200 |     624.584µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:43:53 | 404 |     509.875µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:53 | 404 |     752.209µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:53 | 404 |    1.074333ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:53 | 200 |      735.75µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:43:53 | 200 |   19.032958ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:53 | 200 |   50.864083ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:53 | 200 |   39.557333ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:53 | 200 |   45.712333ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:53 | 200 |    50.82075ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:53 | 200 |   37.633833ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:53 | 200 |   29.465916ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:54 | 200 |   10.116084ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:54 | 404 |     534.583µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:54 | 404 |         672µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:54 | 404 |      617.75µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:54 | 200 |     757.375µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:43:54 | 200 |   16.181167ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:54 | 200 |   37.001166ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:54 | 200 |   44.235167ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:43:54 | 200 |   45.029166ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:46:36 | 200 |     798.167µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:46:36 | 200 |     599.917µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:47:10 | 200 |         649µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:47:10 | 200 |     563.167µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:48:49 | 200 |    3.682167ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:48:49 | 200 |     524.875µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:50:27 | 200 |      32.042µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/12/16 - 14:50:27 | 200 |    3.693834ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:50:27 | 404 |     654.834µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:50:27 | 200 |     927.708µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:50:27 | 404 |      492.25µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:50:27 | 404 |     395.375µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:50:27 | 200 |   53.673709ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:50:27 | 200 |   17.777625ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:50:27 | 200 |   39.039166ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:50:27 | 200 |   47.081625ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:50:27 | 200 |   48.601541ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:50:27 | 200 |   41.605125ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:50:27 | 200 |   29.561708ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:50:27 | 200 |   15.505959ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:51:38 | 200 |      41.208µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/12/16 - 14:51:38 | 404 |    5.612541ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:51:38 | 404 |    5.705417ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:51:38 | 404 |     6.49275ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:51:38 | 200 |    3.602333ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:51:38 | 200 |    7.983708ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/12/16 - 14:51:38 | 200 |   40.551917ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:51:38 | 200 |   70.480625ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:51:38 | 200 |   74.169167ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:51:38 | 200 |      84.561ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:51:38 | 200 |   87.965416ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:51:38 | 200 |   35.355708ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:51:38 | 200 |    28.95925ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2025/12/16 - 14:51:38 | 200 |   10.373334ms |       127.0.0.1 | POST     "/api/show"
